analysis_type,balanced_accuracy,capacity_rule,f1,flagged_users,precision,recall,threshold
fixed_threshold,,,1.0,2,1.0,1.0,0.2
fixed_threshold,,,1.0,2,1.0,1.0,0.3
fixed_threshold,,,0.666667,1,1.0,0.5,0.4
fixed_threshold,,,0.666667,1,1.0,0.5,0.5
fixed_threshold,,,0.666667,1,1.0,0.5,0.6
fixed_threshold,,,0.666667,1,1.0,0.5,0.7
fixed_threshold,,,0.666667,1,1.0,0.5,0.8
capacity_rule,,top_10_percent,0.666667,1,1.0,0.5,0.8866
capacity_rule,,top_20_percent,0.666667,1,1.0,0.5,0.8866
capacity_rule,,top_30_percent,0.666667,1,1.0,0.5,0.8866
