catalogue_relationship,co_interaction_count,cosine_similarity,eligible_status,rank,related_item,source_item
co_interaction,6,0.653717,eligible,1,education_complete_onboarding,feature_task_management
co_interaction,8,0.651443,eligible,2,template_project_launch,feature_task_management
co_interaction,3,0.57698,eligible,3,template_weekly_planning,feature_task_management
same_category,4,0.353295,eligible,4,feature_search,feature_task_management
same_category,1,0.349246,eligible,5,feature_notifications,feature_task_management
same_category,1,0.626224,eligible,1,feature_reporting,feature_search
co_interaction,1,0.626224,eligible,2,automation_recurring_task,feature_search
co_interaction,4,0.560404,eligible,3,template_project_launch,feature_search
co_interaction,1,0.486021,eligible,4,integration_calendar,feature_search
co_interaction,3,0.438357,eligible,5,education_complete_onboarding,feature_search
co_interaction,1,1.0,eligible,1,automation_recurring_task,feature_reporting
co_interaction,1,0.776114,eligible,2,integration_calendar,feature_reporting
same_category,1,0.626224,eligible,3,feature_search,feature_reporting
co_interaction,1,0.535838,eligible,4,template_weekly_planning,feature_reporting
co_interaction,1,0.288675,eligible,5,template_project_launch,feature_reporting
same_category,1,0.349246,eligible,1,feature_task_management,feature_notifications
co_interaction,1,0.333333,eligible,2,education_complete_onboarding,feature_notifications
co_interaction,1,0.288675,eligible,3,template_project_launch,feature_notifications
co_interaction,1,0.147542,eligible,4,workflow_invite_team,feature_notifications
co_interaction,9,0.866025,eligible,1,education_complete_onboarding,template_project_launch
co_interaction,8,0.692116,eligible,2,workflow_invite_team,template_project_launch
co_interaction,8,0.651443,eligible,3,feature_task_management,template_project_launch
same_category,7,0.643816,eligible,4,template_weekly_planning,template_project_launch
co_interaction,4,0.560404,eligible,5,feature_search,template_project_launch
same_category,7,0.643816,eligible,1,template_project_launch,template_weekly_planning
co_interaction,3,0.57698,eligible,2,feature_task_management,template_weekly_planning
co_interaction,5,0.535838,eligible,3,education_complete_onboarding,template_weekly_planning
co_interaction,1,0.535838,eligible,4,feature_reporting,template_weekly_planning
co_interaction,1,0.535838,eligible,5,automation_recurring_task,template_weekly_planning
co_interaction,1,1.0,eligible,1,feature_reporting,automation_recurring_task
co_interaction,1,0.776114,eligible,2,integration_calendar,automation_recurring_task
co_interaction,1,0.626224,eligible,3,feature_search,automation_recurring_task
co_interaction,1,0.535838,eligible,4,template_weekly_planning,automation_recurring_task
co_interaction,1,0.288675,eligible,5,template_project_launch,automation_recurring_task
co_interaction,1,0.776114,eligible,1,feature_reporting,integration_calendar
co_interaction,1,0.776114,eligible,2,automation_recurring_task,integration_calendar
co_interaction,2,0.642327,eligible,3,workflow_invite_team,integration_calendar
co_interaction,1,0.486021,eligible,4,feature_search,integration_calendar
co_interaction,2,0.470665,eligible,5,template_weekly_planning,integration_calendar
co_interaction,8,0.692116,eligible,1,template_project_launch,workflow_invite_team
co_interaction,2,0.642327,eligible,2,integration_calendar,workflow_invite_team
co_interaction,6,0.479512,eligible,3,education_complete_onboarding,workflow_invite_team
co_interaction,6,0.435357,eligible,4,template_weekly_planning,workflow_invite_team
co_interaction,1,0.258199,eligible,5,feature_reporting,workflow_invite_team
co_interaction,9,0.866025,eligible,1,template_project_launch,education_complete_onboarding
co_interaction,6,0.653717,eligible,2,feature_task_management,education_complete_onboarding
co_interaction,5,0.535838,eligible,3,template_weekly_planning,education_complete_onboarding
co_interaction,6,0.479512,eligible,4,workflow_invite_team,education_complete_onboarding
co_interaction,3,0.438357,eligible,5,feature_search,education_complete_onboarding
